skt(K),surtsn(K),albsn(0-1),snfall(m),smlt(m),windsp10(m),2mTair,total_prec,LWdown(MJ/m2/d),SWdown(MJ/m2/d),netSWdown(MJ/m2/d),netLWup(MJ/m2/d),LE(J/m2),H(J/m2)
259.0907,258.7882,0.8508,0.0034,0,0.828720037165749,259.1324,0.0034,18.8735,6.6747,4.3558,-3.1344,-0.2304,-1.2398
263.2794,262.691,0.846,0.0026,0,0.869724577093231,263.3822,0.0026,19.6673,10.7389,7.0188,-3.7826,-0.4101,-2.9088
264.305,263.7614,0.846,0.0034,0,1.14877477775237,264.1748,0.0035,19.1874,16.4927,10.7692,-4.5996,-0.8465,-5.8087
266.8988,265.5351,0.8272,0.0018,0,1.04810196545947,266.5143,0.0019,18.8295,23.4644,15.3846,-5.8973,-1.537,-8.1153
273.4867,271.3478,0.7367,0.0022,0.0023,0.450751417080412,272.9605,0.0035,21.7404,25.2057,16.8409,-5.5506,-1.8909,-8.8973
277.2737,272.6206,0.6243,0.0011,0.0106,0.949236598535897,276.9474,0.0021,22.953,27.7972,18.9974,-5.9416,-1.9354,-7.8485
284.3069,272.8832,0.5912,0,0.0071,0.888807313201236,285.6709,0.0005,24.2359,29.3788,24.0863,-7.6735,-5.5341,-7.0642
285.3114,273.1556,0.8799,0,0,0.717297183878482,285.6397,0.0008,24.2719,25.2192,21.9869,-7.9466,-4.2934,-9.1203
278.3068,270.0622,0.6368,0.0001,0.0001,0.578120765930441,278.8946,0.0014,22.3477,19.3335,16.8722,-6.8801,-3.2988,-6.527
270.9549,267.5159,0.6657,0.0011,0.0008,0.52739438753176,272.4672,0.0017,20.9994,13.0425,10.0732,-5.3545,-1.547,-3.4165
266.5941,266.2369,0.7479,0.0021,0,0.537587816082173,267.0997,0.0025,21.3355,7.5461,5.1278,-3.3912,-0.8464,-1.4196
260.28,260.0661,0.845,0.0037,0,0.876021124174526,260.4415,0.0037,19.761,5.647,3.6907,-2.6955,-0.2956,-1.0138
262.6753,262.2256,0.8467,0.0036,0,0.722157046631825,263.1474,0.0036,19.767,7.0085,4.5811,-3.498,-0.2466,-1.0683
263.4414,262.8568,0.8269,0.002,0,0.726733713267797,263.2615,0.002,18.8616,11.5895,7.5974,-4.6173,-0.5978,-2.747
265.6471,264.699,0.8466,0.0035,0,1.05274072781478,265.3996,0.0037,19.8361,16.1083,10.5182,-4.4645,-1.1214,-5.229
270.3433,268.9851,0.7742,0.0026,0.0001,0.630576450559328,270.0211,0.003,20.6321,22.0712,14.6477,-5.4063,-1.8043,-7.6681
274.5869,271.5715,0.6695,0.0013,0.0049,0.788784038885169,273.858,0.0024,21.8227,26.5785,18.027,-5.9203,-1.9713,-8.6327
277.7439,272.9623,0.5645,0.0005,0.0133,0.710163621991439,277.9265,0.005,24.8265,23.2587,16.5085,-4.279,-0.8578,-6.753
284.3714,272.9808,0.7007,0,0.0003,0.568739395505534,284.6593,0.0015,24.627,27.8628,24.1306,-7.2622,-6.4429,-8.9042
283.2054,273.1589,0.88,0,0,0.495651490464822,283.6596,0.0017,24.5912,23.2869,20.3015,-6.7787,-4.786,-8.1988
281.5494,272.0682,0.833,0.0003,0,0.313155632234198,281.9749,0.0009,23.0639,20.0972,17.5977,-7.5095,-3.1717,-6.796
267.9287,267.3578,0.773,0.0024,0.0005,0.45959688858825,268.2148,0.0029,21.6796,11.9507,7.9466,-3.5194,-1.2805,-3.6233
265.0654,264.5409,0.758,0.0009,0,0.723875928595502,265.2074,0.001,19.4235,8.8976,5.9193,-4.6733,-0.8704,-0.9396
258.1934,258.146,0.8056,0.0014,0,0.407536525970372,258.3789,0.0014,18.3827,6.0769,4.0039,-3.3589,-0.2251,-0.9335
262.2565,261.8317,0.8265,0.002,0,0.570614913930577,262.6449,0.002,19.347,7.2212,4.7342,-3.74,-0.2926,-0.966
262.6516,262.1051,0.8237,0.0012,0,0.329097569118947,262.7318,0.0012,19.1056,11.2564,7.3876,-4.1037,-0.4735,-3.0257
267.1907,266.1829,0.7935,0.0017,0,0.46330191020543,267.0734,0.0018,19.4208,16.9612,11.196,-5.3988,-1.0859,-5.0391
269.5689,268.1465,0.8043,0.0036,0.0001,0.808200470180512,268.9766,0.004,20.7467,21.8293,14.3874,-5.0123,-1.9282,-7.802
271.3768,269.6482,0.7799,0.0023,0.0006,0.718780307187113,270.6877,0.0031,21.517,23.6979,15.6875,-4.9508,-1.9572,-8.7937
