skt(K),surtsn(K),albsn(0-1),snfall(m),smlt(m),windsp10(m),2mTair,total_prec,LWdown(MJ/m2/d),SWdown(MJ/m2/d),netSWdown(MJ/m2/d),netLWup(MJ/m2/d),LE(J/m2),H(J/m2)
266.8076,266.9983,0.7578,0.0018,0.0001,0.846028959315223,268.6139,0.0036,23.3768,0.8121,0.5196,-1.4608,0.0779,0.4572
261.063,260.967,0.5675,0.0003,0,1.4723884439916,262.2678,0.0003,18.3297,3.9294,2.5704,-4.3319,-0.2887,1.5326
267.9224,266.956,0.705,0.0011,0,1.16392450356542,267.9492,0.0011,19.2605,10.174,6.4916,-5.8374,-1.0385,-0.0211
273.9054,271.31,0.595,0.0003,0.0046,0.786479878954319,273.8521,0.0007,21.7774,16.3775,10.7423,-5.6881,-1.0133,-2.5018
283.7805,273.1094,0.6663,0,0.0017,0.687154887925568,283.973,0.0019,25.3903,19.3712,16.953,-6.2302,-5.684,-2.6094
285.0595,273.1601,0.8799,0,0,0.736245095060062,285.1035,0.004,27.4155,18.2202,16.0791,-4.8094,-8.0128,-2.331
288.25,273.1594,0.8799,0,0,0.346627321485194,288.2858,0.0034,28.8426,17.7328,15.5471,-4.8503,-8.7409,-1.208
286.5022,273.1599,0.8799,0,0,0.0915838413695342,286.5875,0.0045,29.2104,11.2634,9.9748,-3.7025,-5.4357,-0.6468
281.8249,273.0146,0.8551,0,0,0.953807784619102,282.0423,0.0046,26.3713,7.7128,6.9612,-4.4181,-3.1042,0.2763
273.0133,269.0547,0.5679,0.0001,0.0001,1.56892868544112,273.7403,0.0012,21.5317,5.1557,4.6813,-5.5367,-1.2087,0.8426
267.1963,266.5688,0.5919,0.0006,0.0001,1.03067114541933,270.3359,0.001,21.897,1.4987,1.1982,-3.0241,-0.0396,0.91
264.8426,265.1517,0.8035,0.0023,0,1.0185616574366,267.1624,0.0025,22.9496,0.3682,0.2305,-1.1555,0.0879,0.5152
259.6247,259.9894,0.7473,0.0007,0,1.60785345725287,262.3724,0.0009,19.5256,1.1533,0.7286,-2.777,-0.0341,1.3637
264.1828,263.9857,0.698,0.0007,0.0002,1.12346539777601,265.7279,0.0015,20.281,3.3951,2.1746,-3.5903,-0.2081,1.3287
268.4185,267.4325,0.6589,0.0008,0.0004,1.25609762757518,268.5345,0.0012,20.1149,9.0897,5.8604,-5.2674,-1.0425,0.2066
274.9694,272.52,0.6042,0.0008,0.0035,0.454393309809905,275.0877,0.0026,22.8541,14.2257,9.3939,-5.038,-1.4347,-1.8014
283.0115,273.0416,0.6204,0,0.0021,0.401238582392073,283.467,0.0015,25.7127,19.3593,16.7164,-5.6124,-4.8306,-3.4908
288.421,273.1597,0.8799,0,0,0.433345728027865,288.4775,0.0024,28.2122,20.7242,18.2762,-5.5533,-9.1483,-2.4587
288.6754,273.1599,0.8799,0,0,0.460508512407751,288.6692,0.0027,29.1569,17.1832,15.063,-4.7154,-7.3367,-2.3562
287.2734,273.1606,0.8799,0,0,0.934666063361669,287.3774,0.0017,27.9248,14.9222,13.2117,-5.2874,-6.1299,-1.665
279.939,272.6435,0.8061,0.0007,0,0.665729930226965,280.1002,0.0061,26.3003,7.4218,6.6145,-3.7005,-2.9611,-0.438
275.6899,272.1088,0.5899,0.0007,0.001,1.13468669243981,276.331,0.0028,25.2738,3.3527,2.8783,-2.9569,-0.9757,0.9269
263.5252,263.68,0.7972,0.0035,0.0003,1.14892904045463,265.4161,0.0047,20.9408,1.3207,0.8451,-2.7595,-0.3089,1.5747
