csn(%),swe(m),depsn(m),snevap(m),rhosn(kgm-3),eva_baresoil(m),eva_topcano(m),eva_vegetran(m),forecast_albedo(0-1),potential_eva(m),stl1(K),stl2(K),stl3(K),stl4(K),swvl1(m3/m3),swvl2(m3/m3),swvl3(m3/m3),swvl4(m3/m3)
99.4883,0.132,0.625,-0,0,-0,-0,0,0.3681,-0,272.2809,272.4705,273.4115,274.8208,0.3638,0.3624,0.36,0.3928
99.4883,0.1607,0.584,-0.0001,0,-0,0,-0,0.3445,-0.0014,271.6652,272.1419,273.1768,274.1482,0.366,0.3691,0.3757,0.3888
99.4883,0.1813,0.6494,-0.0004,0,-0,0,-0,0.362,-0.0061,271.6812,271.9082,272.8747,273.9044,0.3531,0.3554,0.3634,0.3856
98.5956,0.1546,0.457,-0.0003,0,-0,-0,-0,0.3452,-0.0109,272.0774,272.0961,272.702,273.7684,0.3883,0.3844,0.3749,0.3834
6.9333,0.0039,0.0088,0,0,-0.0015,-0.0004,-0,0.1241,-0.0233,281.7958,279.9057,275.2527,273.7177,0.3702,0.3747,0.3943,0.41
-0,0,-0,-0,0,-0.002,-0.0009,-0,0.1177,-0.0161,284.5953,283.6639,280.9195,275.216,0.3745,0.3715,0.3637,0.3986
-0,0,-0,-0,0,-0.0025,-0.0006,-0,0.1233,-0.0153,287.885,287.0705,284.4908,278.8977,0.3756,0.3765,0.3777,0.3907
-0,0,-0,-0,0,-0.001,-0.001,-0,0.1142,-0.0089,286.5621,286.3213,285.2665,281.8729,0.394,0.3911,0.3828,0.3869
0.0046,0,-0,-0,0,-0.0006,-0.0005,-0,0.098,-0.0084,282.263,282.5105,283.0696,282.9832,0.4034,0.4062,0.4126,0.405
6.1819,0.0009,0.0068,-0,0,-0.0003,-0.0001,-0,0.0924,-0.0073,274.6375,275.6542,278.182,281.8215,0.3766,0.3805,0.3885,0.4107
58.3011,0.0099,0.0635,-0,0,-0,-0,-0,0.2357,-0.0008,271.005,271.9005,274.2152,278.891,0.3752,0.3723,0.3734,0.4018
99.4883,0.0558,0.3369,-0,0,-0,-0,-0,0.3739,0,271.383,271.6519,273.2804,276.3366,0.3603,0.3585,0.364,0.3943
99.4883,0.1098,0.5234,-0,0,-0,-0,-0,0.3672,-0.0004,271.621,271.9511,273.028,274.7517,0.3483,0.3492,0.3547,0.3876
99.4883,0.1304,0.543,-0.0001,0,-0,0,-0,0.3606,-0.0011,271.353,271.6354,272.7653,274.0223,0.3564,0.3528,0.3497,0.382
99.4883,0.1519,0.5273,-0.0004,0,-0,0,-0,0.356,-0.0059,271.4907,271.7132,272.5634,273.8154,0.3752,0.3718,0.3605,0.3783
96.8209,0.1306,0.3447,-0.0004,0,-0,-0,-0,0.3421,-0.0109,272.262,272.1146,272.4625,273.6797,0.4077,0.4054,0.3894,0.381
14.099,0.0108,0.0244,0,0,-0.0014,-0.0002,-0,0.1406,-0.0184,280.7254,278.7214,273.9049,273.5942,0.3831,0.389,0.4046,0.4142
-0,0,-0,-0,0,-0.0026,-0.0007,-0,0.1177,-0.0209,287.7523,286.4608,282.3417,274.568,0.3265,0.3338,0.3528,0.402
-0,0,-0,-0,0,-0.0019,-0.0007,-0,0.1233,-0.0171,288.4199,287.6425,285.1037,278.8418,0.307,0.2923,0.3125,0.3845
-0,0,-0,-0,0,-0.0017,-0.0004,-0,0.1142,-0.0192,287.4182,287.1756,286.0009,282.0877,0.317,0.3132,0.3014,0.3708
4.0944,0.0007,0.0049,-0,0,-0.0005,-0.0006,-0,0.1096,-0.0082,280.6331,281.1175,282.4224,283.1065,0.3828,0.3754,0.3412,0.3633
22.511,0.004,0.0244,-0,0,-0.0001,-0.0002,-0,0.1387,-0.0028,276.6657,277.1552,278.6449,281.633,0.4082,0.4099,0.412,0.3903
96.6023,0.0485,0.3027,-0.0001,0,-0,0,-0,0.3641,-0.0013,272.7885,273.4284,275.3815,279.3583,0.381,0.3841,0.3921,0.3995
99.4883,0.1227,0.5869,-0,0,-0,-0,-0,0.366,-0.0001,272.6223,273.0575,274.2392,277.0847,0.3751,0.3792,0.3912,0.3994
99.4883,0.1792,0.7129,-0,0,-0,-0,-0,0.3698,-0.0001,272.4592,272.7726,273.7655,275.5645,0.3577,0.3605,0.3698,0.3949
99.4883,0.2132,0.7559,-0.0001,0,-0,0,-0,0.3705,-0.0009,272.2997,272.562,273.4669,274.6325,0.3476,0.3503,0.3581,0.3889
99.4883,0.2367,0.7197,-0.0003,0,-0,0,-0,0.3537,-0.0053,272.4084,272.5822,273.2544,274.0908,0.3554,0.3536,0.3526,0.3833
80.0682,0.1191,0.3174,-0.0001,0,-0.0002,-0.0001,-0,0.2943,-0.0118,274.0313,273.6292,273.1914,273.9116,0.4223,0.4234,0.4214,0.4089
2.2909,0.001,0.002,0,0,-0.0015,-0.0006,-0,0.1128,-0.0177,282.8292,281.4806,277.7396,274.2717,0.3891,0.3908,0.3924,0.4173
-0,0,-0,-0,0,-0.0026,-0.0005,-0,0.1177,-0.0219,287.6582,286.687,283.72,277.5444,0.3395,0.345,0.3535,0.4004
-0,0,-0,-0,0,-0.002,-0.0007,-0,0.1233,-0.0176,289.6292,288.9368,286.5758,281.1961,0.3159,0.3081,0.3216,0.3847
-0,0,-0,-0,0,-0.001,-0.0008,-0,0.1142,-0.0091,287.2265,286.9777,286.1661,283.7423,0.3952,0.3916,0.3775,0.38
-0,0,-0,-0,0,-0.0006,-0.0006,-0,0.098,-0.0071,282.9375,283.4287,284.5545,284.6663,0.4014,0.4032,0.4081,0.3987
6.446,0.001,0.0068,-0,0,-0.0003,-0,-0,0.0947,-0.0064,274.986,275.9692,278.715,283.0725,0.3663,0.3696,0.3834,0.4088
71.764,0.0119,0.0781,-0.0001,0,-0,-0,-0,0.2763,-0.0011,270.5593,271.76,274.724,279.7936,0.3787,0.3785,0.3741,0.3992
99.4792,0.0308,0.2031,-0.0001,0,-0,0,-0,0.3647,-0.0008,270.0911,270.6438,272.9723,276.762,0.3632,0.3569,0.3649,0.3931
99.4883,0.0625,0.3965,-0.0001,0,-0,-0,-0,0.3721,-0.0006,270.8384,271.1834,272.5671,274.732,0.3528,0.3495,0.3542,0.3868
99.4883,0.1202,0.6309,-0.0001,0,-0,0,-0,0.3753,-0.0015,271.2091,271.4212,272.3337,273.9483,0.3454,0.3445,0.3477,0.3813
99.4883,0.1333,0.5439,-0.0005,0,-0,-0,-0,0.359,-0.0069,271.014,271.3031,272.1927,273.7253,0.3386,0.3398,0.3431,0.3765
79.1907,0.0735,0.2266,-0.0004,0,-0.0001,-0.0001,-0,0.2939,-0.0133,272.7011,272.1204,272.104,273.5781,0.413,0.4033,0.3763,0.3753
0.9959,0.0004,0.001,-0,0,-0.0012,-0.0007,-0,0.1106,-0.0183,280.0728,278.3103,273.4496,273.4915,0.3865,0.3871,0.3948,0.393
-0,0,-0,0,0,-0.0023,-0.0004,-0,0.1177,-0.0186,286.3893,285.0832,281.1063,273.9742,0.3201,0.3269,0.36,0.3894
-0,0,-0,-0,0,-0.002,-0.0005,-0,0.1233,-0.0153,288.7177,287.6672,284.3864,277.3565,0.3266,0.3176,0.3197,0.3782
-0,0,-0,-0,0,-0.0012,-0.0009,-0,0.1142,-0.0106,286.4809,286.2236,285.0726,281.0223,0.372,0.3628,0.3268,0.3684
-0,0,-0,-0,0,-0.0005,-0.0008,-0,0.098,-0.0063,282.1787,282.3541,282.7101,282.3058,0.4115,0.4116,0.4024,0.377
23.6617,0.0058,0.0361,0,0,-0.0001,-0.0002,-0,0.1451,-0.0044,275.5696,276.4121,278.7185,281.6343,0.4068,0.409,0.414,0.4096
95.7324,0.0266,0.1611,-0.0002,0,-0,-0,-0,0.3456,-0.0015,271.1879,272.0802,274.3241,278.8135,0.3829,0.3844,0.3963,0.4145
99.4883,0.1046,0.5371,-0,0,-0,-0,-0,0.3724,-0.0002,271.7739,272.0468,273.4011,276.314,0.3681,0.3663,0.3684,0.4031
99.4883,0.1565,0.6729,-0.0001,0,-0,-0,-0,0.3701,-0.001,271.6781,272.0309,273.1498,274.8101,0.3534,0.3544,0.3586,0.3938
99.4883,0.1779,0.7236,-0.0001,0,-0,0,-0,0.3691,-0.0015,271.2914,271.636,272.8427,274.1062,0.3445,0.3456,0.3512,0.3868
99.4883,0.2198,0.832,-0.0003,0,-0,0,-0,0.3692,-0.0057,271.6596,271.8187,272.6103,273.8394,0.3411,0.3412,0.3456,0.381
