csn(%),swe(m),depsn(m),snevap(m),rhosn(kgm-3),eva_baresoil(m),eva_topcano(m),eva_vegetran(m),forecast_albedo(0-1),potential_eva(m),stl1(K),stl2(K),stl3(K),stl4(K),swvl1(m3/m3),swvl2(m3/m3),swvl3(m3/m3),swvl4(m3/m3)
99.9512,0.2388,1.2363,-0.0001,0,-0,-0,-0,0.3476,-0.0019,272.655,272.9189,273.6922,274.8997,0.3113,0.3134,0.3146,0.3552
99.9512,0.3404,1.4736,-0.0001,0,-0,0,-0,0.3469,-0.0042,272.4572,272.7119,273.4509,274.2754,0.3069,0.3087,0.3116,0.3527
99.9512,0.4044,1.4414,-0.0003,0,-0,0,-0,0.3469,-0.0065,272.1865,272.4681,273.2287,273.9878,0.3036,0.3055,0.3088,0.3503
99.9512,0.4807,1.5938,-0.0005,0,-0,0,-0,0.3444,-0.0121,271.9717,272.2267,273.0163,273.8576,0.3007,0.3026,0.3064,0.348
99.9512,0.5118,1.4287,-0.0007,0,-0,0,-0,0.3323,-0.0151,272.2233,272.302,272.8577,273.7537,0.349,0.3435,0.3215,0.346
99.9512,0.448,1.0674,-0.0007,0,-0,0,-0,0.3172,-0.0203,272.5876,272.5999,272.8232,273.6628,0.4095,0.4144,0.4057,0.3667
29.6042,0.0343,0.0762,-0.0001,0,-0.0015,-0.0001,-0,0.1816,-0.032,280.7393,279.0277,274.8891,273.6182,0.3607,0.3733,0.3739,0.4279
0,0,0,0,0,-0.0011,-0.0002,-0,0.1281,-0.0323,285.2639,284.3726,281.5299,275.0429,0.2273,0.2542,0.2843,0.4016
1.7982,0.0003,0.002,-0,0,-0.0007,-0.0003,-0,0.1274,-0.0206,278.6914,278.8166,279.0129,277.4351,0.2874,0.2683,0.2651,0.3838
51.2377,0.0097,0.0635,-0.0002,0,-0.0001,-0.0002,-0,0.228,-0.0108,273.7939,274.4382,275.9431,277.4975,0.3238,0.3008,0.2653,0.3721
90.7222,0.0362,0.2168,-0.0002,0,-0,-0.0001,-0,0.316,-0.004,272.5357,272.8804,273.9082,276.0608,0.3363,0.3315,0.2876,0.3646
99.9512,0.1032,0.6582,-0.0001,0,-0,-0,-0,0.3468,-0.002,272.3465,272.6127,273.571,274.9583,0.3107,0.3101,0.2953,0.3597
99.9512,0.2366,1.1338,-0.0001,0,-0,-0,-0,0.347,-0.0024,272.394,272.6094,273.3317,274.2419,0.3018,0.302,0.2962,0.3556
99.9512,0.2942,1.1611,-0.0002,0,-0,0,-0,0.3444,-0.0049,272.1561,272.4195,273.1543,273.9639,0.2972,0.298,0.2959,0.3522
99.9512,0.3693,1.3672,-0.0004,0,-0,0,-0,0.347,-0.0083,272.0097,272.2437,272.9759,273.8413,0.2941,0.2952,0.2953,0.3491
99.9512,0.4679,1.5244,-0.0006,0,-0,0,-0,0.3373,-0.0126,272.0848,272.2227,272.8302,273.7378,0.3016,0.2959,0.2946,0.3463
99.9512,0.5024,1.3389,-0.0007,0,-0,0,-0,0.3234,-0.0174,272.2914,272.3581,272.7579,273.6513,0.3571,0.3523,0.3175,0.3441
91.9759,0.2052,0.4668,-0,0,-0.0002,-0,-0,0.296,-0.0143,273.2543,272.8659,272.7686,273.5718,0.4219,0.4273,0.4299,0.4142
1.1485,0.0006,0.002,0,0,-0.0016,-0.0004,-0,0.1343,-0.0291,283.4829,281.8578,276.9594,273.6123,0.3237,0.3368,0.3403,0.4203
0,0,0,0,0,-0.001,-0.0004,-0,0.1281,-0.0259,283.2291,282.5698,280.4688,275.2397,0.2849,0.2778,0.2802,0.3965
0.4682,0.0001,0.001,-0,0,-0.0007,-0.0002,-0,0.1247,-0.0243,281.8978,281.7387,280.8271,277.7713,0.2463,0.2558,0.2658,0.3808
98.9491,0.045,0.2549,-0.0004,0,-0.0001,-0,-0,0.3346,-0.0063,273.1506,273.8549,275.8993,278.0049,0.2853,0.2667,0.2627,0.3699
99.9512,0.0766,0.3808,-0.0003,0,-0,-0,-0,0.3352,-0.0047,272.8223,273.2515,274.2976,276.5112,0.2978,0.2949,0.2703,0.3621
99.9512,0.1079,0.5947,-0.0001,0,-0,-0,-0,0.3415,-0.0017,272.1584,272.5697,273.7009,275.3183,0.2873,0.2866,0.2754,0.3563
99.9512,0.1578,0.79,-0.0001,0,-0,-0,-0,0.3443,-0.0028,272.1305,272.4027,273.3565,274.4553,0.2832,0.2827,0.2781,0.3515
99.9512,0.2037,0.8994,-0.0002,0,-0,0,-0,0.3439,-0.0045,272.045,272.3124,273.1294,274.0164,0.281,0.2809,0.2796,0.3476
99.9512,0.2255,0.8379,-0.0004,0,-0,0,-0,0.34,-0.009,271.9546,272.1834,272.9478,273.867,0.2803,0.2801,0.2806,0.3443
99.9512,0.3074,1.1309,-0.0007,0,-0,0,-0,0.3413,-0.0129,272.0403,272.1752,272.8024,273.7535,0.2861,0.281,0.2814,0.3412
99.9512,0.3901,1.2324,-0.0007,0,-0,0,-0,0.338,-0.0141,272.133,272.2485,272.7247,273.6621,0.3194,0.3047,0.2835,0.3385
97.2348,0.2353,0.5908,-0.0003,0,-0.0001,-0,-0,0.3038,-0.0171,272.7738,272.5326,272.7034,273.581,0.4197,0.4208,0.4056,0.3758
2.7911,0.0014,0.0029,-0,0,-0.0017,-0.0001,-0,0.137,-0.0337,283.5038,281.5547,276.2679,273.5845,0.303,0.3224,0.3405,0.4206
0.4652,0.0001,0,-0,0,-0.0009,-0.0004,-0,0.1292,-0.029,284.2455,283.7029,281.4373,275.2185,0.2426,0.2382,0.2747,0.396
2.7149,0.0004,0.0029,-0,0,-0.0008,-0.0003,-0,0.129,-0.0224,279.3302,279.1496,278.8474,277.3816,0.2998,0.2896,0.2637,0.38
29.1116,0.0116,0.0752,-0.0001,0,-0.0003,-0.0002,-0,0.184,-0.0113,275.7536,276.2251,277.3892,277.8797,0.2984,0.2875,0.2644,0.3691
99.9512,0.0828,0.5029,-0.0002,0,-0.0001,-0,-0,0.3404,-0.0036,273.351,273.6782,274.6504,276.7783,0.3106,0.3023,0.2715,0.3615
99.9512,0.201,1.001,-0.0001,0,-0,-0,-0,0.3484,-0.0017,273.2255,273.4529,274.1254,275.637,0.2927,0.2924,0.2778,0.3559
99.9512,0.2984,1.2842,-0.0001,0,-0,-0,-0,0.3463,-0.0021,272.7308,273.0377,273.7986,274.8433,0.2861,0.2862,0.2806,0.3513
99.9512,0.3704,1.4219,-0.0002,0,-0,0,-0,0.3454,-0.0042,272.2528,272.6185,273.4961,274.2978,0.2832,0.2836,0.2821,0.3475
99.9512,0.4588,1.6465,-0.0003,0,-0,0,-0,0.3481,-0.0069,272.1276,272.3868,273.219,274.0007,0.2816,0.2822,0.2829,0.3443
99.9512,0.607,1.9766,-0.0005,0,-0,0,-0,0.3473,-0.0094,272.1206,272.3302,273.0261,273.8657,0.2806,0.2814,0.2835,0.3413
99.9512,0.7134,1.9453,-0.0007,0,-0,0,-0,0.3328,-0.0134,272.2364,272.3351,272.8909,273.7637,0.344,0.3266,0.289,0.3387
99.9512,0.681,1.5957,-0.0007,0,-0,0,-0,0.3134,-0.0193,272.5896,272.5982,272.8477,273.6755,0.4044,0.4056,0.3709,0.347
63.5278,0.1615,0.3584,-0.0001,0,-0.0008,-0.0001,-0,0.24,-0.0264,276.4707,275.3882,273.1401,273.6035,0.4015,0.4097,0.4117,0.4307
0.0015,0,0,0,0,-0.0014,-0.0003,-0,0.1281,-0.03,284.7076,283.5269,279.8127,274.052,0.2944,0.3085,0.308,0.4108
0,0,0,0,0,-0.0007,-0.0002,-0,0.1237,-0.0232,281.0542,280.8709,280.106,276.6502,0.2706,0.2647,0.274,0.3905
42.3747,0.0071,0.0459,-0.0002,0,-0.0002,-0.0002,-0,0.2084,-0.0099,274.4499,275.1715,276.6135,277.4702,0.3475,0.3333,0.282,0.3775
81.9675,0.0333,0.2168,-0.0002,0,-0,-0,-0,0.3019,-0.0049,270.2546,271.0781,273.4156,276.034,0.3428,0.3294,0.3074,0.3706
99.9512,0.0728,0.4326,-0.0001,0,-0,-0,-0,0.338,-0.0024,271.1485,271.4746,272.8108,274.5538,0.3218,0.3172,0.3069,0.3658
99.9512,0.1507,0.8193,-0.0001,0,-0,-0,-0,0.3459,-0.0027,271.3806,271.5987,272.542,273.9167,0.3129,0.311,0.3047,0.3615
99.9512,0.2393,1.0439,-0.0002,0,-0,0,-0,0.3451,-0.0039,271.4607,271.6701,272.3987,273.7368,0.3082,0.3072,0.3026,0.3578
99.9512,0.3212,1.2158,-0.0005,0,-0,0,-0,0.3437,-0.0098,271.5556,271.6886,272.2999,273.6076,0.3049,0.3045,0.3009,0.3544
99.9512,0.3642,1.0928,-0.0007,0,-0,0,-0,0.3328,-0.0144,271.745,271.8353,272.2603,273.4998,0.3287,0.3219,0.3014,0.3514
99.9512,0.3348,0.8408,-0.0009,0,-0,0,-0,0.3201,-0.0176,271.9904,272.0122,272.2664,273.4108,0.3916,0.3913,0.3486,0.3503
78.975,0.1321,0.3008,-0.0007,0,-0.0005,-0,-0,0.2736,-0.0273,274.2988,273.4311,272.3693,273.3308,0.4143,0.4223,0.4243,0.3998
0.1037,0,0,-0,0,-0.0018,-0.0004,-0,0.1325,-0.0296,285.4786,283.5273,277.614,273.3765,0.3284,0.3329,0.3334,0.4166
0,0,0,0,0,-0.0011,-0.0001,-0,0.1281,-0.0337,286.5437,285.5525,282.3559,274.6209,0.2067,0.2485,0.2799,0.3955
0,0,0,0,0,-0.0006,-0.0003,-0,0.1237,-0.0231,281.0614,281.0167,280.5762,277.5988,0.2555,0.236,0.2613,0.3797
30.2051,0.0076,0.0488,-0.0001,0,-0.0001,-0.0001,-0,0.1855,-0.0112,273.9972,274.6615,276.3887,277.9893,0.2931,0.2763,0.2592,0.3687
97.2775,0.032,0.2021,-0.0003,0,-0,-0,-0,0.3284,-0.0044,272.3483,272.8268,274.0729,276.5127,0.3476,0.3385,0.2819,0.3613
99.9512,0.137,0.7969,-0.0001,0,-0,-0,-0,0.3474,-0.0018,272.4457,272.6748,273.5981,275.2205,0.3131,0.3125,0.2948,0.3567
99.9512,0.1845,0.8916,-0.0001,0,-0,-0,-0,0.3415,-0.0024,272.218,272.5149,273.3672,274.3872,0.3025,0.3028,0.2966,0.353
99.9512,0.2335,1.0039,-0.0002,0,-0,0,-0,0.3442,-0.0043,272.1025,272.3596,273.1446,274.001,0.2981,0.2986,0.2964,0.3499
99.9512,0.2767,1.0654,-0.0003,0,-0,0,-0,0.3445,-0.0084,271.9993,272.2233,272.9629,273.8591,0.2949,0.2959,0.2958,0.3471
99.9512,0.3447,1.2051,-0.0006,0,-0,0,-0,0.3434,-0.0118,272.0137,272.1891,272.8222,273.7495,0.2928,0.2939,0.2951,0.3445
99.9512,0.3393,0.9297,-0.0008,0,-0,0,-0,0.3203,-0.0172,272.2777,272.3119,272.7316,273.6585,0.3696,0.3638,0.3342,0.3431
68.3398,0.1158,0.2578,-0.0005,0,-0.0007,-0.0001,-0,0.2542,-0.0262,275.1794,274.239,272.8084,273.5759,0.4093,0.4142,0.4179,0.3952
0.0092,0,0,-0,0,-0.0017,-0.0002,-0,0.1323,-0.0324,286.2477,284.6831,279.7756,273.8925,0.287,0.3083,0.3289,0.4128
0,0,0,0,0,-0.0009,-0.0003,-0,0.1281,-0.031,286.1515,285.3188,282.7698,277.0288,0.2244,0.2314,0.276,0.3922
14.3735,0.0028,0.0185,-0.0001,0,-0.0005,-0.0004,-0,0.155,-0.0159,280.9058,281.2347,281.7017,279.6987,0.2973,0.2641,0.2619,0.3776
95.4533,0.0238,0.1504,-0.0004,0,-0.0002,-0,-0,0.323,-0.0082,273.5205,274.1264,275.8807,279.0059,0.3747,0.3623,0.291,0.3683
99.9512,0.0548,0.3418,-0.0003,0,-0,0,-0,0.3425,-0.0042,272.7661,273.1227,274.2619,277.0267,0.339,0.3399,0.3196,0.3638
99.9512,0.1242,0.71,-0.0001,0,-0,-0,-0,0.3446,-0.0016,272.6232,272.9246,273.8427,275.5905,0.32,0.3222,0.3196,0.3608
99.9512,0.1914,0.9258,-0.0001,0,-0,-0,-0,0.3451,-0.0025,272.486,272.7596,273.5618,274.6704,0.3132,0.315,0.316,0.358
99.9512,0.3142,1.4316,-0.0002,0,-0,0,-0,0.3492,-0.0036,272.3545,272.5774,273.3251,274.1286,0.3086,0.3104,0.3126,0.3553
99.9512,0.4762,1.6611,-0.0003,0,-0,0,-0,0.3479,-0.008,272.2847,272.5118,273.154,273.9336,0.3047,0.3067,0.3096,0.3528
99.9512,0.5583,1.6816,-0.0006,0,-0,0,-0,0.3394,-0.0126,272.1614,272.3459,272.9969,273.8191,0.3017,0.3036,0.3069,0.3503
99.9512,0.5861,1.4971,-0.0008,0,-0,0,-0,0.3235,-0.0186,272.3485,272.4232,272.8874,273.7276,0.3483,0.34,0.3209,0.3481
99.9512,0.3195,0.71,-0.0007,0,-0,0,-0,0.3058,-0.021,272.7167,272.709,272.8726,273.6457,0.4184,0.4246,0.4281,0.4013
17.7518,0.0156,0.0342,-0.0001,0,-0.0016,-0.0002,-0,0.1614,-0.0299,282.7874,280.9749,276.3715,273.6575,0.3455,0.36,0.3616,0.4256
0.0061,0,0,0,0,-0.001,-0.0008,-0,0.1281,-0.0197,283.0934,282.6611,280.8974,275.5114,0.3448,0.3318,0.2928,0.4001
0.4987,0.0001,0,0,0,-0.0008,-0.0003,-0,0.1248,-0.0196,280.1614,280.0086,279.3879,277.5437,0.3194,0.3218,0.298,0.3858
22.0758,0.0033,0.0225,-0.0001,0,-0.0004,-0.0001,-0,0.1646,-0.0119,274.1103,274.66,276.2172,277.757,0.3566,0.3518,0.3148,0.3771
79.7148,0.0421,0.2754,-0.0002,0,-0,-0,-0,0.2983,-0.0043,272.259,272.7071,273.9868,276.3323,0.3412,0.3379,0.3196,0.3719
99.9512,0.153,0.7793,-0.0001,0,-0,-0,-0,0.3466,-0.002,272.4651,272.6889,273.5615,275.075,0.3206,0.3223,0.3178,0.3677
99.9512,0.2307,1.0176,-0.0001,0,-0,-0,-0,0.3453,-0.003,272.3769,272.6074,273.3504,274.2927,0.3133,0.3145,0.3134,0.3639
99.9512,0.2956,1.0957,-0.0002,0,-0,0,-0,0.3457,-0.0053,272.275,272.5142,273.1756,273.9773,0.3086,0.3099,0.3097,0.3604
99.9512,0.3214,1.0459,-0.0004,0,-0,0,-0,0.3336,-0.0109,272.0592,272.2662,273.001,273.8506,0.3045,0.3061,0.3067,0.3571
99.9512,0.3485,1.0439,-0.0007,0,-0,0,-0,0.3348,-0.0141,272.1117,272.2691,272.8628,273.7461,0.302,0.3028,0.3041,0.354
99.9512,0.3572,0.8555,-0.0007,0,-0,-0,-0,0.3171,-0.0139,272.4892,272.4988,272.8013,273.6606,0.3853,0.3703,0.3231,0.3514
49.7689,0.0823,0.1826,-0.0001,0,-0.0011,-0.0001,-0,0.2246,-0.0272,278.2228,276.7145,273.457,273.5913,0.3853,0.3972,0.4067,0.412
0,0,0,0,0,-0.0014,-0.0006,-0,0.1323,-0.0254,283.7558,282.961,280.2248,274.2696,0.3192,0.3127,0.3041,0.4084
0,0,0,0,0,-0.0011,-0.0003,-0,0.1281,-0.0286,284.723,284.0331,281.749,277.1248,0.2706,0.2727,0.2754,0.3888
